Country Name,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cote d'Ivoire,,,,,,,,,,,,,,,,,327123,5874,,,,43301,15686,150026,71164,67771,94910,16535,,,,,,,31381,52740,74044,74868,290664,239217,201433,282023,247808,218944,999147,3953630,275236,308408,212693,166623,205699,227386,1863634,898133,28120,,,,,,,,,25729,,89000
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145795,296969,571141,600959,567036,5769721,5648535,6870865,7464154,,,,80115,322588,1749538,3430363,4449000
Cuba,,,,,,,4277868,11904187,10381625,10932237,13649079,36078025,12863204,5509953,610086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132,5146,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679077,708978,694261,13206941,13140264,23304015,10605524,9510965,12417285,14496014,33503217,11746566,8997526,6591141,5457406,4610186,4731987,8047689,7980000
Denmark,,,,,337053879,772190698,556835862,781474877,252088568,109246784,190203062,53561991,136432672,275689154,248683189,215208034,88549339,266619360,20590344,12661549,28133971,270633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117237,222633,201375,4815619,190642,255747,1923056,235283,3481257,2600833,68069,298272,150303,347769,204336,125731,136041,160334,208344,289732,2042955,16317604,8218134,5352800,4802855,4427667,2446029,2545064,2425931,2662132
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17580,8227,21672,81690,80966,82732,92840,69590,73526,1137830,827469,717686,218637,95003,109693,115791,318341,246988,254188,333606,428354,437337,78253,496681,247910,305746,188002,56375,115264,2042514,292000
Dominican Republic,,,,,,,,2814990,9695981,3401293,16060104,6692829,11309344,2452300,573481,366839,6786324,23454750,11580980,9506148,18057798,14917293,13421574,12607217,9706763,5069282,8723135,9892111,3111972,5263651,5676230,4645157,1740149,2498215,8301488,7350597,9111586,10977960,6037457,16016487,1231982,1401356,2053749,1114325,3169220,2483924,2873705,2125669,11977467,652436,713845,1858684,2397089,2592722,6132725,2245427,7430482,2177848,4948024,3791566,4966726,3100969,2614109,2292925,8096220,8532000
East Africa (not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5145701,10197274,9960000
